iter	Passed	Remaining
398	120683	68356
399	120969	68045
400	121455	67845
401	121739	67532
402	122097	67259
403	122666	67102
404	123013	66822
405	123406	66566
406	123735	66275
407	124052	65978
408	124408	65702
409	124868	65479
410	125188	65183
411	125507	64885
412	125784	64567
413	126112	64274
414	126397	63960
415	126739	63674
416	127113	63404
417	127408	63094
418	127725	62795
419	128186	62567
420	128573	62301
421	128965	62037
422	129238	61716
423	129541	61409
424	129880	61120
425	130208	60824
426	130503	60514
427	130853	60229
428	131282	59979
429	131756	59750
430	132131	59474
431	132422	59161
432	132687	58835
433	133029	58545
434	133387	58261
435	133726	57968
436	134060	57673
437	134308	57341
438	134678	57062
439	134995	56759
440	135231	56423
441	135574	56131
442	135825	55801
443	136113	55487
444	136352	55153
445	136599	54823
446	136916	54521
447	137171	54195
448	137485	53891
449	137809	53592
450	138130	53292
451	138444	52988
452	138743	52679
453	139043	52371
454	139262	52032
455	139566	51725
456	139890	51425
457	140218	51127
458	140459	50798
459	140767	50492
460	141075	50187
461	141426	49897
462	141853	49633
463	142215	49346
464	142527	49041
465	142822	48731
466	143192	48446
467	143463	48127
468	143723	47805
469	144016	47494
470	144362	47201
471	144642	46886
472	144954	46581
473	145257	46274
474	145535	45958
475	145805	45640
476	146141	45343
477	146415	45027
478	146661	44702
479	146993	44404
480	147388	44124
481	147758	43836
482	148046	43525
483	148392	43229
484	148694	42922
485	148977	42608
486	149293	42304
487	149655	42013
488	150045	41730
489	150272	41401
490	150612	41104
491	150961	40808
492	151224	40490
493	151560	40191
494	151857	39881
495	152134	39567
496	152407	39251
497	152692	38939
498	153030	38640
499	153277	38319
500	153596	38015
501	153889	37706
502	154149	37388
503	154417	37072
504	154683	36756
505	154951	36441
506	155228	36128
507	155504	35815
508	155912	35532
509	156319	35248
510	156636	34944
511	156897	34627
512	157205	34321
513	157623	34039
514	157902	33726
515	158252	33429
516	158627	33136
517	158911	32825
518	159182	32511
519	159461	32198
520	159740	31886
521	160096	31589
522	160465	31295
523	160824	30998
524	161230	30710
525	161539	30403
526	161896	30105
527	162227	29803
528	162563	29501
529	162859	29191
530	163108	28874
531	163376	28560
532	163690	28254
533	163971	27942
534	164322	27642
535	164599	27330
536	164854	27015
537	165102	26698
538	165394	26389
539	165734	26087
540	166019	25777
541	166277	25463
542	166603	25159
543	166855	24844
544	167159	24537
545	167516	24237
546	167867	23937
547	168146	23626
548	168423	23315
549	168748	23011
550	169066	22705
551	169389	22401
552	169683	22092
553	169924	21777
554	170218	21468
555	170575	21168
556	170914	20865
557	171290	20567
558	171612	20261
559	171928	19956
560	172236	19649
561	172849	19376
562	173181	19071
563	173490	18764
564	173791	18455
565	174039	18141
566	174375	17837
567	174705	17532
568	174989	17222
569	175335	16918
570	175591	16605
571	175905	16298
572	176205	15990
573	176445	15677
574	176734	15368
575	177034	15060
576	177272	14747
577	177508	14434
578	177865	14130
579	178156	13822
580	178568	13523
581	178889	13216
582	179154	12906
583	179511	12602
584	179815	12295
585	180116	11987
586	180458	11682
587	180744	11373
588	181074	11067
589	181410	10761
590	181806	10459
591	182294	10161
592	182724	9860
593	182988	9549
594	183282	9241
595	183585	8932
596	183915	8625
597	184293	8320
598	184576	8011
599	184860	7702
600	185100	7391
601	185477	7086
602	185818	6779
603	186121	6471
604	186384	6161
605	186748	5855
606	187031	5546
607	187338	5238
608	187672	4930
609	188014	4623
610	188344	4315
611	188631	4006
612	188980	3699
613	189251	3390
614	189624	3083
615	190067	2776
616	190413	2468
617	190747	2160
618	191118	1852
619	191414	1543
620	191754	1235
621	192029	926
622	192321	617
623	192612	308
624	192940	0
